Item,Toko,Kota,Qty,Price,Total,URL
Solder Dekko 40W,PCM Elek Pusat,Glodok,1,55000,55000,https://www.tokopedia.com/pcmelektronik/soldering-solder-iron-dekko-deko-40w-40-watr
Pinset Dekko,PCM Elek Pusat,Glodok,1,22000,22000,https://www.tokopedia.com/pcmelektronik/pinset-dekko-tekuk-bagus-ori
Timah Pancing,PCM Elek Pusat,Glodok,1,22500,22500,https://www.tokopedia.com/pcmelektronik/timah-solder-1-rol-10-meter-merk-pancing
,,,,,,
Total,99500,,,,,
